
日期	收盘	开盘	高	低	涨跌幅
2009年12月	3.600	3.580	3.750	3.510	1.12%
2009年11月	3.560	3.750	3.820	3.540	-3.78%
2009年10月	3.700	3.530	3.800	3.430	4.52%
2009年9月	3.540	3.480	3.640	3.380	-0.28%
2009年8月	3.550	3.475	3.640	2.940	0.00%
2009年7月	3.550	3.170	3.650	3.000	8.23%
2009年6月	3.280	3.060	3.350	3.000	7.19%
2009年5月	3.060	3.120	3.780	3.000	-3.77%
2009年4月	3.180	3.180	3.351	3.070	0.63%
2009年3月	3.160	3.301	3.451	3.015	1.94%
2009年2月	3.100	3.120	3.500	2.996	0.03%
2009年1月	3.099	2.760	3.300	2.635	12.73%
2008年12月	2.749	3.100	3.100	2.660	-5.98%
2008年11月	2.924	3.070	3.400	2.750	-1.71%
2008年10月	2.975	3.703	3.979	2.950	-19.68%
2008年9月	3.704	4.180	4.595	3.679	-13.26%
2008年8月	4.270	4.600	4.894	4.180	-6.91%
2008年7月	4.587	4.520	4.938	4.191	3.06%
2008年6月	4.451	4.076	4.750	4.076	6.59%
2008年5月	4.176	4.100	4.280	4.050	2.35%
2008年4月	4.080	4.100	4.315	3.867	-1.69%
2008年3月	4.150	4.300	4.319	3.980	0.48%
2008年2月	4.130	4.250	4.450	4.071	-3.95%
2008年1月	4.300	4.521	4.600	4.200	-5.49%
2007年12月	4.550	4.580	4.700	4.382	-1.37%
2007年11月	4.613	4.522	4.700	4.439	2.03%
2007年10月	4.521	4.418	4.655	4.196	1.39%
2007年9月	4.459	4.260	4.799	4.189	1.36%
2007年8月	4.399	4.336	4.701	4.099	0.87%
2007年7月	4.361	4.361	4.361	4.361	1.77%
2007年6月	4.285	4.285	4.285	4.285	-0.33%
2007年5月	4.299	4.299	4.299	4.299	18.07%
2007年4月	3.641	3.641	3.641	3.641	7.15%
2007年3月	3.398	3.398	3.398	3.398	8.49%
2007年2月	3.132	3.132	3.132	3.132	1.69%
2007年1月	3.080	3.080	3.080	3.080	-0.06%
2006年12月	3.082	3.082	3.082	3.082	2.09%
2006年11月	3.019	3.019	3.019	3.019	1.79%
2006年10月	2.966	2.966	2.966	2.966	-10.18%
2006年9月	3.302	3.302	3.302	3.302	-0.63%
2006年8月	3.323	3.323	3.323	3.323	-1.98%
2006年7月	3.390	3.390	3.390	3.390	8.24%
2006年6月	3.132	3.132	3.132	3.132	2.79%
2006年5月	3.047	3.047	3.047	3.047	0.00%
2006年4月	3.047	3.047	3.047	3.047	3.36%
2006年3月	2.948	2.948	2.948	2.948	-0.74%
2006年2月	2.970	2.970	2.970	2.970	-5.23%
2006年1月	3.134	3.134	3.134	3.134	-5.06%
2005年12月	3.301	3.301	3.301	3.301	0.24%
2005年11月	3.293	3.293	3.293	3.293	3.75%
